Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
JQ911763,Canine kobuvirus CH-1,GenBank,set:JQ911763,,"Wang,C., Shan,T., Tong,G., He,Q.","Huazhong Agricultural University, State Key Laboratory of Agricultural Microbiology, Division of Animal Infectious Disease",China,5/1/14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8216,complete,,,,China,China,,Canis lupus familiaris,feces,2011,,,"Canine kobuvirus CH-1, complete genome"
KJ452348,Porcine kobuvirus,GenBank,set:KJ452348,,"Shi,D., Zhang,S., Chen,J.-F., Shi,H.-Y., Li,C.-L., Zhang,X., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Division of Swine Infectious Diseases of State Key Laboratory of Veterinary Biotechnology",China,5/1/14,CH/DX/2012,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8124,complete,,,,China,China,,Sus scrofa,feces,2012,,,"Porcine kobuvirus isolate CH/DX/2012, complete genome"
KF831027,aichivirus A4,GenBank,set:KF831027,,"Cho,Y.Y., Lim,S.I., Kim,Y.K., Song,J.Y., Lee,J.B., An,D.J., Cho,Y.-Y., Lim,S.-I., Lee,J.-J., Kim,Y.-K., Song,J.-Y., Lee,J.-B., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,4/1/14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,complete,,,1,South Korea,South Korea,,Feliformia,feces,2011,,,"Feline kobuvirus strain FK-13, complete genome"
KF924623,Canine kobuvirus,GenBank,set:KF924623,,"Oem,J.K., Choi,J.W., Lee,M.H., Lee,K.K., Choi,K.S., Oem,J.-K., Choi,J.-W., Lee,M.-H., Lee,K.-K., Choi,K.-S.","Animal and plant Quarantine Agency, Animal Disease Diagnostic Division",South Korea,3/5/14,12D049,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8314,complete,,,1,South Korea,South Korea,,Canis lupus familiaris,feces,2012,,,"Canine kobuvirus 1 isolate 12D049, complete genome"
NC_023422,Caprine kobuvirus,RefSeq,GCF_000915315.1,,"Oem,J.K., Lee,M.H., Lee,K.K., An,D.J., Oem,J.-K., Kim,S.-H., Kim,Y.-H., Lee,M.-H., Lee,K.-K.","National Center for Biotechnology Information, NIH",USA,2/4/14,12Q108,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8305,complete,,,1,South Korea,South Korea,,Capra hircus,feces,2012,,PRJNA485481,"Caprine kobuvirus isolate 12Q108, complete genome"
KF793927,aichivirus C2,GenBank,set:KF793927,,"Oem,J.K., Lee,M.H., Lee,K.K., An,D.J., Oem,J.-K., Kim,S.-H., Kim,Y.-H., Lee,M.-H., Lee,K.-K.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",South Korea,1/29/14,12Q108,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8305,complete,,,1,South Korea,South Korea,,Capra hircus,feces,2012,,,"Aichivirus C2 isolate 12Q108, complete genome"
KF695124,Porcine kobuvirus,GenBank,set:KF695124,,"Wang,Y., Yang,S., Zhang,W., Hua,X.",School of Medical Science and Laboratory Medicine,China,1/15/14,ch-kobu/2008/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8120,complete,,,,China,China,,Sus scrofa,feces,12/5/08,,,"Porcine kobuvirus isolate ch-kobu/2008/China, complete genome"
KF539763,Porcine kobuvirus,GenBank,set:KF539763,,"Wang,E., Yang,B., Liu,W., Liu,J., Ma,X., Lan,X., Wang,E.L., Ma,X.J., Liu,J.X.","Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Etiological Biology, Key Laboratory of Grazing Animal Diseases, Lanzhou Veterinary Research Institute",China,11/24/13,swKoV CH441,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8149,complete,,,1,China,China,,Sus scrofa,feces,2012-06,,,"Porcine kobuvirus isolate swKoV CH441, complete genome"
KC424638,Porcine kobuvirus,GenBank,set:KC424638,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,11/10/13,K-4/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate K-4/2012/CH, complete genome"
KC424639,Porcine kobuvirus,GenBank,set:KC424639,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Zhang,K., Xu,W.W., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,11/10/13,GS-1/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate GS-1/2012/CH, complete genome"
KC424640,Porcine kobuvirus,GenBank,set:KC424640,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Zhang,K., Xu,W.W., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research",China,11/10/13,GS-2/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate GS-2/2012/CH, complete genome"
KF006985,aichivirus B2,GenBank,set:KF006985,,"Smits,S.L., Raj,V.S., Oduber,M.D., Schapendonk,C.M., Bodewes,R., Provacia,L., Stittelaar,K.J., Osterhaus,A.D., Haagmans,B.L., Raj,S.V., Oduber,M., Schapendonk,C.M.E., Osterhaus,A.D.M.E.","Erasmus Medical Center, Virology",Netherlands,9/4/13,MpKoV38,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8052,partial,,,1,Netherlands,Netherlands,,Mustela putorius furo,feces,2010,,,"Ferret kobuvirus isolate MpKoV38 polyprotein gene, complete cds"
KC161964,Canine kobuvirus,GenBank,set:KC161964,,"Carmona-Vicente,N., Buesa,J., Brown,P.A., Merga,J.Y., Darby,A.C., Stavisky,J., Sadler,L., Gaskell,R.M., Dawson,S., Radford,A.D.","University of Liverpool, Infection Biology",,3/24/13,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8213,complete,,,1,United Kingdom,United Kingdom,,Canis lupus familiaris,,2008,,,"Canine kobuvirus strain UK003, complete genome"
KC204684,Porcine kobuvirus,GenBank,set:KC204684,,"Ji,G.B., Wang,C.Q.","Henan Agricultural University, College of Animal Science and Veterinary Medicine",China,3/4/13,XX,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8147,complete,,,,China,China,,Sus scrofa,feces,2011,,,"Porcine kobuvirus isolate XX, complete genome"
JX827598,Porcine kobuvirus,GenBank,set:JX827598,,"Shi,D., Zhang,S., Chen,J., Shi,H., Zhang,X., Feng,L., Chen,J.-F., Shi,H.-Y.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Division of Swine Infectious Diseases of State Key Laboratory of Veterinary Biotechnology",China,11/24/12,CH/HZ/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8101,partial,,,1,China,China,,Sus scrofa,feces,2011,,,"Porcine kobuvirus isolate CH/HZ/2011 polyprotein gene, complete cds"
JX564249,Aichi virus 1,GenBank,set:JX564249,,"Chang,J.T., Chen,Y.S., Chen,B.C., Chao,D., Chang,T.H.","Kaohsiung Veterans General Hospital, Department of Pediatrics",Taiwan,11/6/12,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,partial,,,1,Taiwan,Taiwan,,Homo sapiens,feces,2010,,,"Aichi virus strain kvgh99012632/2010 polyprotein gene, complete cds"
JX401523,Porcine kobuvirus,GenBank,set:JX401523,,"Cao,W., Zheng,H., Zhang,K., Jin,Y., Lv,L., Yang,F., Liu,X., Liu,H.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Lab of RNA Virus Research",China,9/26/12,CH/HNXX-4/2012,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8122,complete,,,1,China,China,,Sus scrofa,abdominal cavity,2012-04,,,"Porcine kobuvirus isolate CH/HNXX-4/2012, complete genome"
JX177612,Porcine kobuvirus,GenBank,set:JX177612,,"Reuter,G., Nemes,C., Boros,A., Kapusinszky,B., Delwart,E., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Sevice, Regional Laboratory of Virology",Hungary,8/7/12,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,Hungary,Hungary,,Sus scrofa,feces,2011-04,,,"Porcine kobuvirus strain WB-1-HUN/2011/HUN, complete genome"
NC_015936,Mouse kobuvirus M-5/USA/2010,RefSeq,GCF_000893835.1,,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","National Center for Biotechnology Information, NIH",USA,7/3/12,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,Picornaviridae,ssRNA(+),8198,complete,,,1,USA,USA,,Peromyscus crinitus,feces,2010,,PRJNA485481,"Mouse kobuvirus M-5/USA/2010, complete genome"
JQ692069,Porcine kobuvirus,GenBank,set:JQ692069,,"Lin,Y.C., Fang,L.R., Xiao,S.B.","Huazhong Agricultural University, State Key Laboratory of Agricultural",China,5/27/12,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8226,complete,,,,China,China,,Sus scrofa,feces,2011-06,,,"Porcine kobuvirus strain WUH1, complete genome"
NC_016769,Porcine kobuvirus SH-W-CHN/2010/China,RefSeq,GCF_000895935.1,,"Wang,C., Lan,D., Cui,L., Yang,Z., Yuan,C., Hua,X., Wang,C.S., Lan,D.L., Hua,X.G.","National Center for Biotechnology Information, NIH",USA,2/10/12,SH-W-CHN/2010/China,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,China,China,,Sus scrofa,feces,2010-12,,PRJNA485481,"Porcine kobuvirus SH-W-CHN/2010/China, complete genome"
JN630514,Porcine kobuvirus SH-W-CHN/2010/China,GenBank,set:JN630514,,"Wang,C., Lan,D., Cui,L., Yang,Z., Yuan,C., Hua,X., Wang,C.S., Lan,D.L., Hua,X.G.","Shanghai Jiao Tong University, School of Agriculture and Biology",China,1/29/12,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,China,China,,Sus scrofa,feces,2010-12,,,"Porcine kobuvirus SH-W-CHN/2010/China, complete genome"
JN088541,Canine kobuvirus US-PC0082,GenBank,set:JN088541,,"Kapoor,A., Simmonds,P., Dubovi,E.J., Qaisar,N., Henriquez,J.A., Medina,J., Shields,S., Lipkin,W.I.","Columbia University, CII",USA,9/14/11,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8289,complete,,,1,USA,USA,,Canis lupus familiaris,feces,2010,,,"Canine kobuvirus US-PC0082, complete genome"
JF755427,aichivirus A3,GenBank,set:JF755427,,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.","Blood Systems Research Institute, Virology",USA,8/15/11,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8198,complete,,,1,USA,USA,,Peromyscus crinitus,feces,2010,,,"Aichivirus A3 strain M-5 polyprotein gene, complete cds"
JN387133,aichivirus A2,GenBank,set:JN387133,,"Li,L., Pesavento,P.A., Shan,T., Leutenegger,C.M., Wang,C., Delwart,E.","Blood Systems Research Institute, Department of Laboratory Medicine, University of California-San Francisco",USA,8/6/11,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8155,partial,,,1,USA,USA,,Canis lupus familiaris,feces,,,,"Kobuvirus dog/AN211D/USA/2009 polyprotein gene, complete cds"
AB624493,Porcine kobuvirus THA/2007,GenBank,set:AB624493,,"Okitsu,S., Khamrin,P., Thongprachum,A., Hidaka,S., Kongkaew,S., Kongkaew,A., Maneekarn,N., Mizuguchi,M., Hayakawa,S., Ushijima,H.","Division of Microbiology, Department of Pathology and Microbiology; 30-1, Oyaguchi-kamimachi, Itabashi, Tokyo 173-8610",Japan,4/14/11,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8041,partial,,1,1,Thailand,Thailand,,Sus scrofa domesticus,feces,2007,,,"Porcine kobuvirus THA/2007 gene for polyprotein, complete cds, strain: CMP06/07-THA"
GQ927704,Aichi virus 1,GenBank,set:GQ927704,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,9/30/10,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8238,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2169/2004 polyprotein gene, complete cds"
GQ927705,Aichi virus 1,GenBank,set:GQ927705,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,9/30/10,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8242,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2359/2004 polyprotein gene, complete cds"
GQ927706,Aichi virus 1,GenBank,set:GQ927706,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,9/30/10,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8228,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2321/2004 polyprotein gene, complete cds"
GQ927711,Aichi virus 1,GenBank,set:GQ927711,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,9/30/10,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8237,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2287/2004 polyprotein gene, complete cds"
GQ927712,Aichi virus 1,GenBank,set:GQ927712,,"Drexler,J.F., Baumgarte,S., de Souza Luna,L.K., Eschbach-Bludau,M., Lukashev,A.N., Drosten,C., Belalov,I.S.","University of Bonn Medical Centre, Institute of Virology",Germany,9/30/10,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8240,partial,,,2,Germany,Germany,,Homo sapiens,feces,2004,,,"Aichi virus strain D/VI2244/2004 polyprotein gene, complete cds"
GU245693,aichivirus B3,GenBank,set:GU245693,,"Reuter,G., Boros,A., Pankovics,P., Egyed,L.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,5/4/10,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8378,complete,,,1,Hungary,Hungary,,Ovis aries,feces,2009,,,"Aichivirus B3 strain sheep/TB3/HUN/2009, complete genome"
GU292559,Kobuvirus pig/JY-2010a/CHN,GenBank,set:GU292559,,"Yu,J.M., Xu,Z.Q., Li,B.W., Zhang,Q., Cui,S.X., Jin,M., Duan,Z.J., Yu,J., Duan,Z.","Institute for Viral Disease Control and Prevention, Department of Viral Diarrhea",China,1/19/10,Y-1-CHI,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,China,China,,Sus scrofa,,,,,"Kobuvirus pig/JY-2010a/CHN isolate Y-1-CHI, complete genome"
GQ249161,Porcine kobuvirus swine/K-30-HUN/2008/HUN,GenBank,set:GQ249161,,"Reuter,G., Kecskemeti,S., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,1/11/10,swine/K-30-HUN/2008/HUN,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,Hungary,Hungary,,Sus scrofa,feces,2008,,,"Porcine kobuvirus swine/K-30-HUN/2008/HUN, complete genome"
FJ890523,Aichi virus 1,GenBank,set:FJ890523,,"Yang,S., Zhang,W., Shen,Q., Yang,Z., Zhu,J., Cui,L., Hua,X.","Shanghai Jiaotong University, School of Agriculture and Biology",,10/6/09,Chshc7,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8244,complete,,,1,China,China,,Homo sapiens,,2008,,,"Aichi virus isolate Chshc7, complete genome"
NC_011829,Porcine kobuvirus swine/S-1-HUN/2007/Hungary,RefSeq,GCF_000881035.1,,"Reuter,G., Boldizsar,A., Pankovics,P., Kiss,I.","National Center for Biotechnology Information, NIH",USA,1/5/09,,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,2,Hungary,Hungary,,Sus scrofa,feces,2007,,PRJNA485481,"Porcine kobuvirus swine/S-1-HUN/2007/Hungary, complete genome"
EU787450,aichivirus C1,GenBank,set:EU787450,,"Reuter,G., Boldizsar,A., Kiss,I., Pankovics,P.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,12/4/08,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,2,Hungary,Hungary,,Sus scrofa,feces,2007,,,"Aichivirus C1 strain swine/S-1-HUN/2007/Hungary, complete genome"
DQ028632,Aichi virus 1,GenBank,set:DQ028632,,"Oh,D.Y., Silva,P.A., Hauroeder,B., Diedrich,S., Cardoso,D.D., Schreier,E., Cardoso,D.D.P.","Robert Koch Institute, Molecular Epidemiology of Viral Pathogens",Germany,5/29/05,Goiania/GO/03/01/Brazil,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8266,complete,,,1,Brazil,Brazil,,,feces,,,,"Aichi virus isolate Goiania/GO/03/01/Brazil, complete genome"
AY747174,Aichi virus 1,GenBank,set:AY747174,,"Oh,D.Y., Silva,P.A., Hauroeder,B., Diedrich,S., Cardoso,D.D., Schreier,E., Oh,D.-Y.","Robert Koch Institute, Molecular Epidemiology of Viral Pathogens",Germany,10/18/04,BAY/1/03/DEU,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8266,partial,,,1,Germany,Germany,,,,,,,"Aichi virus isolate BAY/1/03/DEU from Germany polyprotein gene, complete cds"
NC_004421,Kobuvirus bejaponia,RefSeq,GCF_000853805.1,,"Yamashita,T., Ito,M., Kabashima,Y., Tsuzuki,H., Fujiura,A., Sakae,K.","National Center for Biotechnology Information, NIH",USA,11/18/02,,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8374,complete,,,1,,,,Bos taurus,,,,PRJNA485481,"Aichivirus B genomic RNA, complete genome, strain:U-1"
AB084788,Aichivirus B,GenBank,set:AB084788,,"Yamashita,T., Ito,M., Kabashima,Y., Tsuzuki,H., Fujiura,A., Sakae,K.","Department of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 4628576",Japan,11/9/02,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8374,complete,,,1,,,,Bos taurus,,,,,"Aichivirus B genomic RNA, complete genome, strain:U-1"
AB040749,Aichi virus 1,GenBank,set:AB040749,,"Sasaki,J., Kusuhara,Y., Maeno,Y., Kobayashi,N., Yamashita,T., Sakae,K., Takeda,N., Taniguchi,K.","Jun Sasaki, Fujita Health University, Department of Virology and Parasitology, School of Medicine; Dengakugakubo 1-98, Kutsukake-cho, Toyoake, Aichi 470-1192",Japan,8/15/01,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8280,complete,,,1,,,,,,,,,"Aichi virus genomic RNA, complete genome"
NC_001918,Aichi virus 1,RefSeq,GCF_000861885.1,,"Yamashita,T., Sakae,K., Tsuzuki,H., Suzuki,Y., Ishikawa,N., Takeda,N., Miyamura,T., Yamazaki,S.","National Center for Biotechnology Information, NIH",USA,7/9/98,A846/88,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8251,complete,,,1,,,,Homo sapiens,,,,PRJNA485481,"Aichi virus, complete genome"
AB010145,Aichi virus 1,GenBank,set:AB010145,,"Yamashita,T., Sakae,K., Tsuzuki,H., Suzuki,Y., Ishikawa,N., Takeda,N., Miyamura,T., Yamazaki,S.","Department of Virology; Nagare 7-6, Tsujimachi, Kita-ku, Nagoya, Aichi 462",Japan,7/9/98,A846/88,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8251,complete,,,1,,,,Homo sapiens,,,,,"Aichi virus genomic RNA, complete genome"
NC_038306,Coxsackievirus A2,RefSeq,GCF_002816655.1,,,"National Center for Biotechnology Information, NIH",USA,8/24/18,CA2,Enterovirus A,Enterovirus,Picornaviridae,ssRNA(+),7398,complete,,,,,,,,,,,PRJNA485481,"Human coxsackievirus A2 strain Fleetwood, complete genome"
